gml_id,fonte,comune_istat,area_m2,n_px,strip,sr_coastalblue,sr_blue,sr_greeni,sr_green,sr_yellow,sr_red,sr_rededge,sr_nir,ndvi
Mappatura_2020.5160,Mappatura_2020,03108028,265.8,30,20260512_101812_73_2553_3B,0.1973,0.24475000000000002,0.27135000000000004,0.273,0.27005,0.28805000000000003,0.27335000000000004,0.30160000000000003,0.023
Mappatura_2020.5162,Mappatura_2020,03108028,265.5,29,20260512_101812_73_2553_3B,0.0988,0.10980000000000001,0.13390000000000002,0.1396,0.1545,0.1527,0.17250000000000001,0.23290000000000002,0.208
Mappatura_2020.5164,Mappatura_2020,03108028,118.3,13,20260512_101812_73_2553_3B,0.07980000000000001,0.0925,0.10650000000000001,0.1144,0.12290000000000001,0.12610000000000002,0.1406,0.1938,0.2116
Mappatura_2020.5165,Mappatura_2020,03108028,124.4,14,20260512_101812_73_2553_3B,0.052750000000000005,0.06205,0.07490000000000001,0.07640000000000001,0.0876,0.07765,0.1012,0.16265000000000002,0.3537
Mappatura_2020.5167,Mappatura_2020,03108028,168.8,18,20260512_101812_73_2553_3B,0.07490000000000001,0.08395000000000001,0.10065,0.10535,0.1194,0.12035000000000001,0.13385,0.1715,0.1753
Mappatura_2020.5168,Mappatura_2020,03108028,193.0,21,20260512_101812_73_2553_3B,0.0539,0.0587,0.07010000000000001,0.0771,0.0864,0.08370000000000001,0.0944,0.1321,0.2243
Mappatura_2020.5169,Mappatura_2020,03108028,118.9,12,20260512_101812_73_2553_3B,0.07315,0.07880000000000001,0.1005,0.10740000000000001,0.11965,0.11815,0.14365,0.20705,0.2734
Mappatura_2020.5171,Mappatura_2020,03108028,548.9,61,20260512_101812_73_2553_3B,0.0499,0.0603,0.0891,0.0965,0.1003,0.0965,0.15130000000000002,0.2968,0.5093
Mappatura_2020.5174,Mappatura_2020,03108028,54.3,7,20260512_101812_73_2553_3B,0.051500000000000004,0.0534,0.0697,0.08020000000000001,0.1149,0.1263,0.15330000000000002,0.1981,0.2213
Mappatura_2020.5176,Mappatura_2020,03108028,103.1,10,20260512_101812_73_2553_3B,0.07315,0.08020000000000001,0.09775,0.10355,0.12000000000000001,0.12495,0.1393,0.18105000000000002,0.1833
Mappatura_2020.5177,Mappatura_2020,03108028,69.9,7,20260512_101812_73_2553_3B,0.055400000000000005,0.0631,0.0818,0.0844,0.0961,0.1034,0.1233,0.1777,0.2643
Mappatura_2020.5179,Mappatura_2020,03108028,76.1,8,20260512_101812_73_2553_3B,0.0721,0.0824,0.0946,0.10435,0.124,0.1206,0.15005000000000002,0.2187,0.2891
Mappatura_2020.5181,Mappatura_2020,03108028,210.6,24,20260512_101812_73_2553_3B,0.06625,0.0772,0.09575,0.1023,0.11370000000000001,0.1135,0.13235,0.1768,0.2181
Mappatura_2020.5182,Mappatura_2020,03108028,211.9,25,20260512_101812_73_2553_3B,0.10400000000000001,0.1226,0.1414,0.1496,0.1559,0.1584,0.169,0.22130000000000002,0.1657
Mappatura_2020.5187,Mappatura_2020,03108028,113.1,14,20260512_101812_73_2553_3B,0.06315,0.0794,0.09375,0.09670000000000001,0.09395,0.10060000000000001,0.12390000000000001,0.259,0.4405
Mappatura_2020.5188,Mappatura_2020,03108028,1069.2,118,20260512_101812_73_2553_3B,0.07605,0.08825000000000001,0.1053,0.10745,0.1085,0.1106,0.1348,0.21195,0.3142
Mappatura_2020.5191,Mappatura_2020,03108028,439.3,48,20260512_101812_73_2553_3B,0.16445,0.2044,0.22565000000000002,0.2252,0.22265000000000001,0.23240000000000002,0.22825,0.2737,0.0816
