wavelength_nm,Chrysotile HS323.1B,Chrysotile coarse fib,Chrysotile fine fib,Tremolite,Actinolite,Antigorite,Concrete (road),Brick red (terracotta),Asphalt tar roof,Asphalt shingle grey,Fiberglass roofing white,Galvanized metal roof,AC roof new,AC roof moderate,AC roof weathered
502.0,0.89262,0.48801,0.14036,0.74288,0.22934,0.20948,0.25291,0.05903,0.02542,0.09696,0.83901,0.09139,0.31688,0.41284,0.50879
503.0,0.89296,0.48907,0.14073,0.74304,0.23006,0.21008,0.25363,0.05915,0.02541,0.09708,0.83920,0.09134,0.31756,0.41346,0.50936
504.0,0.89329,0.49011,0.14110,0.74331,0.23053,0.21062,0.25435,0.05926,0.02540,0.09720,0.83939,0.09129,0.31824,0.41408,0.50992
505.0,0.89367,0.49113,0.14146,0.74376,0.23076,0.21110,0.25506,0.05937,0.02540,0.09732,0.83957,0.09123,0.31892,0.41471,0.51050
506.0,0.89400,0.49213,0.14182,0.74431,0.23106,0.21152,0.25577,0.05949,0.02539,0.09745,0.83972,0.09118,0.31959,0.41533,0.51106
507.0,0.89426,0.49311,0.14216,0.74483,0.23128,0.21188,0.25648,0.05962,0.02539,0.09760,0.83984,0.09113,0.32026,0.41592,0.51159
508.0,0.89454,0.49405,0.14249,0.74524,0.23145,0.21219,0.25719,0.05974,0.02539,0.09775,0.83996,0.09108,0.32093,0.41653,0.51213
509.0,0.89484,0.49498,0.14281,0.74562,0.23163,0.21245,0.25791,0.05986,0.02538,0.09790,0.84007,0.09104,0.32160,0.41714,0.51268
510.0,0.89516,0.49587,0.14311,0.74609,0.23191,0.21268,0.25863,0.05997,0.02538,0.09807,0.84019,0.09100,0.32228,0.41776,0.51324
511.0,0.89546,0.49674,0.14342,0.74670,0.23225,0.21285,0.25935,0.06009,0.02538,0.09824,0.84031,0.09095,0.32296,0.41837,0.51379
512.0,0.89573,0.49758,0.14371,0.74736,0.23259,0.21297,0.26006,0.06021,0.02537,0.09842,0.84043,0.09090,0.32363,0.41898,0.51433
513.0,0.89596,0.49839,0.14400,0.74803,0.23296,0.21303,0.26078,0.06033,0.02536,0.09861,0.84055,0.09084,0.32429,0.41957,0.51485
514.0,0.89618,0.49916,0.14429,0.74851,0.23333,0.21304,0.26149,0.06047,0.02536,0.09881,0.84067,0.09079,0.32496,0.42016,0.51537
515.0,0.89642,0.49989,0.14457,0.74883,0.23367,0.21298,0.26220,0.06060,0.02535,0.09902,0.84078,0.09073,0.32562,0.42075,0.51589
516.0,0.89667,0.50059,0.14484,0.74910,0.23395,0.21290,0.26291,0.06074,0.02535,0.09922,0.84089,0.09068,0.32629,0.42135,0.51641
517.0,0.89692,0.50125,0.14509,0.74946,0.23428,0.21277,0.26363,0.06088,0.02534,0.09943,0.84098,0.09062,0.32696,0.42195,0.51694
